Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
40,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
40,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
40,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
40,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
41,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
41,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
41,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
41,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
42,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
42,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
42,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
42,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
43,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
43,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
43,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
43,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
44,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
44,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
44,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
44,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
45,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
45,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
45,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
45,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
46,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
46,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
46,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
46,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
47,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
47,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
47,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
47,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
48,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
48,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
48,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
48,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
49,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
49,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
49,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
49,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
50,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
50,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
50,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
50,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
51,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
51,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
51,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
51,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
52,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
52,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
52,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
52,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
53,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
53,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
53,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
53,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
54,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
54,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
54,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
54,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
55,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
55,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
55,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
55,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
56,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
56,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
56,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
56,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
57,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
57,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
57,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
57,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
58,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
58,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
58,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
58,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
59,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
59,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
59,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
59,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
60,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
60,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
60,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
60,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
61,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
61,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
61,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
61,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
62,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
62,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
62,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
62,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
63,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
63,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
63,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
63,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
64,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
64,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
64,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
64,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
65,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
65,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
65,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
65,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
66,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
66,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
66,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
66,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
67,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
67,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
67,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
67,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
68,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
68,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
68,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
68,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
69,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
69,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
69,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
69,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
70,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
70,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
70,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
70,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
71,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
71,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
71,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
71,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
72,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
72,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
72,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
72,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
73,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
73,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
73,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
73,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
74,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
74,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
74,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
74,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
75,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
75,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
75,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
75,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
