time,target_id,name,truth,label,FR,AC,ST,FO,Theta,Delta_H1,Delta_V,Delta_C,Delta_H2,window_size,mean_conflict
558,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,190.0,232.32000000000005,92.52999999999997,,3,0.234171543343049
558,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3544.0,134.88,144.65999999999997,,3,0.234171543343049
558,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,73.05000000000001,,3,0.234171543343049
558,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,133.37,,3,0.234171543343049
558,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,73.0,,3,0.234171543343049
558,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.44,,3,0.234171543343049
558,7,IFF-FR-Return-1,Ally1,FR,0.9678514145492098,0.028966158738272817,0.0007473157543343905,0.0006508214120394573,0.0017842895461436896,12.0,8.327999999999975,0.9300000000000068,,3,0.23881700868240077
558,8,IFF-AC-Return-2,Ally2,AC,0.023478929618577622,0.9736034617799819,0.0006428160605764623,0.000582816267203948,0.0016919762736600117,0.0,5.135999999999967,4.7099999999999795,,3,0.23558347972163649
558,9,IFF-ST-Return-3,Ally3,AC,0.3312971421167285,0.6330578680738146,0.029217950797472594,0.002393663859520787,0.004033375152463516,12.0,17.375999999999976,3.069999999999993,,3,0.27709560262179395
559,0,T1(BGM-109C),,FO,0.0011522973449892137,0.0011556695747966046,0.28760401758018367,0.7062572139325647,0.0038308015674657706,57.0,256.79999999999995,83.82,,3,0.26649463155397785
559,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,181.0,232.32000000000005,92.52999999999997,,3,0.234171543343049
559,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3544.0,134.88,144.75,,3,0.234171543343049
559,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,123.12,,3,0.234171543343049
559,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,162.19,,3,0.234171543343049
559,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,73.0,,3,0.234171543343049
559,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.5,,3,0.234171543343049
559,7,IFF-FR-Return-1,Ally1,FR,0.9678416389050414,0.028972017286027323,0.0007542807875612643,0.00065071784638244,0.00178134517498763,12.0,8.327999999999975,0.9200000000000159,,3,0.23894188505055158
559,8,IFF-AC-Return-2,Ally2,AC,0.023527223565404928,0.9735530930092199,0.0006435342909564155,0.0005832895183881063,0.0016928596160307274,0.0,5.135999999999967,4.680000000000007,,3,0.2356089396543779
559,9,IFF-ST-Return-3,Ally3,AC,0.3309342030832301,0.6322702826179153,0.030341935147657692,0.0024050060075905453,0.004048573143606315,12.0,17.375999999999976,3.089999999999975,,3,0.277228230042412
560,0,T1(BGM-109C),,FO,0.0011483313897655957,0.001154968634924246,0.28752708661129006,0.706341060927645,0.003828552436375015,69.0,256.79999999999995,83.82,,3,0.2664183518470979
560,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,171.0,232.32000000000005,92.54000000000002,,3,0.234171543343049
560,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3544.0,134.88,144.85000000000002,,3,0.234171543343049
560,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,113.61000000000001,,3,0.234171543343049
560,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,163.88,,3,0.234171543343049
560,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,72.99000000000001,,3,0.234171543343049
560,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.57,,3,0.234171543343049
560,7,IFF-FR-Return-1,Ally1,FR,0.9678625731219642,0.02895411429884727,0.0007599185857599436,0.0006495163411582782,0.001773877652270256,12.0,8.327999999999975,0.9200000000000159,,3,0.23840086536593785
560,8,IFF-AC-Return-2,Ally2,AC,0.023583285879656506,0.9734945194988276,0.0006443827714613158,0.0005838980292281844,0.0016939138208264214,0.0,5.135999999999967,4.649999999999977,,3,0.2356489684341003
